extshort.weixin.qq.com, application/octet-stream,0.886,0.001
mtrace.qq.com, text/html,0.874,0.005
www.baidu.com, text/html,1,0
msg.71.am, text/html,0.974,0
ws2.cootekservice.com, text/html,1,0
shmmsns.qpic.cn, image/wxpc,0.948,0.002
aps.amap.com, text/html,0.733,0.03
aps.amap.com, text/xml,0.261,0.031
captive.apple.com, text/html,1,0
wx.qlogo.cn, image/jpeg,0.942,0.001
qt.gtimg.qq.com, application/x-javascript,0.996,0
push.mail.163.com, text/javascript,1,0
szextshort.weixin.qq.com, application/octet-stream,0.754,0.01
szextshort.weixin.qq.com, text/html,0.246,0.01
mmbiz.qpic.cn, image/jpeg,0.247,0.004
mmbiz.qpic.cn, image/webp,0.431,0.017
api.accuweather.com, application/json,0.94,0.001
p1.pstatp.com, image/jpeg,0.5,0.019
p1.pstatp.com, image/webp,0.382,0.018
ad.12306.cn, application/json,0.975,0.005
loc.map.baidu.com, text/html,0.537,0.025
loc.map.baidu.com, text/plain,0.463,0.025
res.wx.qq.com, image/jpeg,0.265,0.013
res.wx.qq.com, image/webp,0.492,0.082
res.wx.qq.com, text/html,0.257,0.094
support.weixin.qq.com, application/octet-stream,0.913,0
amdc.m.taobao.com, application/json,0.704,0.006
amdc.m.taobao.com, text/html,0.296,0.006
gspe19-cn.ls.apple.com, application/octet-stream,0.568,0.076
gspe19-cn.ls.apple.com, image/jpeg,0.248,0.013
gspe19-cn.ls.apple.com, application/x-javascript,0.277,0
c.51y5.net, text/html,1,0
get.sogou.com, application/octet-stream,0.603,0.01
get.sogou.com, text/html,0.365,0.008
apsrgeo.amap.com, text/html,0.466,0.126
apsrgeo.amap.com, text/xml,0.697,0.102
p3.pstatp.com, image/jpeg,0.522,0.012
p3.pstatp.com, image/webp,0.337,0.013
connect.rom.miui.com, text/html,1,0
mmsns.qpic.cn, image/wxpc,0.98,0.001
huskycdn.hicloud.com, text/html,1,0
web.sqt.gtimg.cn, text/html,1,0
wup.imtt.qq.com, application/multipart-formdata,0.967,0.001
